product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
ALL NAT FRUIT SALAD PAIL,FRESH VALLEY FOODS,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Haverhill,MA",2,76.48
ALMOND WHL RAW,ARCADE INDUSTRIES,ARCADE S,Minimal Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Auburn,MA",1,120.27
ANISE FRSH,JM GROSS BROKERAGE C,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Chelsea,MA",1,19.15
APPLE CANDY COCONUT,JM GROSS BROKERAGE C,PACKER,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Chelsea,MA",1,25.97
APPLE CUT CHEF RDY IQF,DOLE PACKAGED FROZEN FOOD,DOLE,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),36,919.39
APPLE FUJI,RUBY ROBINSON PACIFICPRO,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),5,196.6
APPLE GALA,JM GROSS BROKERAGE C,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Chelsea,MA",2,79.1
APPLE GLDN DELICIOUS,RUBY ROBINSON PACIFICPRO,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),1,50.45
APPLE GRANNY SMITH,RUBY ROBINSON PACIFICPRO,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),1,49.55
APPLE MACINTOSH,YONDER FRUIT FARMS INC,LOCGROWR,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Hudson,NY",2,58.64
APPLE SLCD GOLD IQF TFF,JR SIMPLOT COMPANY FROZEN,SIMPLOT,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),93,2569.1699999999996
APPLE SLCD IQF,IDAHO FREEZ PAK CORP,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Wood Ridge,NJ",11,600.31
"Apples, Cortland #1 Loose",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",2,57
"Apples, Empire (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",7,263.83
"Apples, Empire #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",5,176
"Apples, Fuji (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",5,211.82
"Apples, Gala (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",21,777
"Apples, Ginger Gold",Dutton Berry Farm,Dutton Berry Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Brattleboro,VT",3,99.75
"Apples, Golden Delicious #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",6,171
"Apples, Honeycrisp (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",4,186
"Apples, Honeycrisp #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",1,56.34
"Apples, Jonagold (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",1,37.69
"Apples, Macoun #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",13,519.72
"Apples, McIntosh #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",4,123.19
"Apples, Paula Red",Dutton Berry Farm,Dutton Berry Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Brattleboro,VT",5,166.25
"Apples, Paula Red #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",11,403
"Apples, SnapDragon (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",1,52.5
"Apples, Zestar",Dutton Berry Farm,Dutton Berry Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Brattleboro,VT",4,133
APPLESAUCE CINNAMON CUP,IPAP KNOUSE FOODS,MUSSELMN,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Peach Glen,PA",18,644.52
APPLESAUCE CUP TFF,IPAP KNOUSE FOODS,MUSSELMN,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,"Non GMO Verified,Simple Processed Foods",Local DC of Natl. Co.,"Peach Glen,PA",4,129.84
APPLESAUCE NAT UNSWTND CUP,IPAP KNOUSE FOODS,MUSSELMN,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Peach Glen,PA",7,210.91
APPLESAUCE UNSWTND,IPAP KNOUSE FOODS,WEST CRK,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Peach Glen,PA",23,1081.8400000000001
